ImageSource,Label,GreekMss,Example
,"Ann Arbor, MI, University of Michigan Library",51,http://csntm.org/Manuscript/View/GA_Lect_1640
,"Athens, Benaki Museum",33,http://csntm.org/Manuscript/View/GA_lect_1894
,"Athens, Gennadius Library",6,http://csntm.org/Manuscript/View/GA_2925
,"Athens, Historikon Mouseion tou Neou Hellenismou",6,http://csntm.org/Manuscript/View/GA_2449
,"Athens, Panepistemion, Spoudasterion Vyzantines kai Neoellenikes Philologias",6,http://pergamos.lib.uoa.gr/dl/object/uoadl:183312
,"Auckland, Central City Library",2,http://csntm.org/Manuscript/View/GA_1273
,"Austin TX, U of Texas, Henry Ransom Center",1,http://norman.hrc.utexas.edu/pubMnEM/details.cfm?id=24
urn:cite:openpal:srcs.walters,"Baltimore, Walters Art Museum",22,http://thedigitalwalters.org/Data/WaltersManuscripts/html/W733/
,"Basel, Universitätsbibliothek",2,http://csntm.org/Manuscript/View/GA_07
urn:cite:openpal:srcs.e_codices,"Bern, Burgerbibliothek",4,http://www.e-codices.unifr.ch/en/list/one/bbb/0703
,"Birmingham, Cadbury Research Library",8,http://vmr.bham.ac.uk/Collections/Mingana/Peckover_Greek_7
,"Bucuresti, BAR",34,http://www.e-corpus.org/ita/ref/141346/Ms._Gr._953/
,"Cambridge MA, Harvard Houghton Library",2,http://pds.lib.harvard.edu/pds/view/48308802
,"Cambridge UK, Christ's College Library",7,http://csntm.org/Manuscript/View/GA_lect_2360
,"Cambridge UK, Clare College Library",1,http://csntm.org/Manuscript/View/GALect1534
,"Cambridge UK, Corpus Christi College Library",8,http://parkerweb.stanford.edu/parker/actions/manuscript_description_long_display.do?ms_no=81
,"Cambridge UK, U of Cambridge UL",2,http://cudl.lib.cam.ac.uk/view/MS-NN-00002-00041/1
,"Cambridge UK, de Hamel Collection",5,http://csntm.org/Manuscript/View/GA_0311
,"Cesena, Bibl. Malatestiana",7,http://www.malatestiana.it/cgi-bin/wxis.exe/?IsisScript=Opcat/imageg.xis&tag7777=destri/29.3/001-012
,"Chicago IL, Lutheran School of Theology at Chicago",14,http://csntm.org/Manuscript/View/GA_Lect_1625
,"Chicago IL, U of Chicago Library",42,http://goodspeed.lib.uchicago.edu/ms/index.php?doc=0972&obj=001
urn:cite:openpal:srcs.e_codices,"Cologny, Fondation Martin Bodmer",10,http://www.e-codices.unifr.ch/en/list/one/cb/0085
,"Copenhagen, Royal Library",10,http://www.kb.dk/da/nb/materialer/haandskrifter/HA/e-mss/thott-2_45.html
urn:cite:openpal:srcs.dresden,"Dresden, Sächsische LB",74,http://digital.slub-dresden.de/werkansicht/dlf/14317/1/?tx_dlf%5Bpointer%5D=3
,"Dublin, Chester Beatty Library",11,http://csntm.org/Manuscript/View/GA_Lect_1030
,"Durham, NC, Duke University Library",38,http://library.duke.edu/digitalcollections/earlymss_emsgk01008/
,"Erlangen-Nürnberg, Universitätsbibliothek",2,http://bvbm1.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=5608102
,"Florence, BML",797,http://csntm.org/Manuscript/View/GA_Lect_291
urn:cite:openpal:srcs.e_codices,"Geneve, Bibliotheque de Geneve",1,http://www.e-codices.unifr.ch/en/list/one/bge/gr0044
,"Glasgow, University of Glasgow Library",7,http://csntm.org/Manuscript/View/GA_561
,"Grottaferrata, Bibl. della Badia greca",2,http://www.wdl.org/en/item/11561/
urn:cite:openpal:srcs.heidelberg,"Heidelberg, UB",29,http://digi.ub.uni-heidelberg.de/diglit/cpgraec88
,"Iasi, Romania, Muzeul de literatura al Moldovei",1,http://csntm.org/Manuscript/View/noGA_Lect_Iasi_MuseumOfLit_7030
,"Jerusalem, Orthodox Patriarchate",1,http://csntm.org/Manuscript/View/GA_1315
,"Leicester, UK, Leicestershire Record Office",1,http://csntm.org/Manuscript/View/GA_69
,"Leiden, BR",8,https://socrates.leidenuniv.nl/R/-?func=dbin-jump-full&object_id=2486600
,"Lesbos, Mone tou Leimonos",107,http://84.205.233.134/library/view_more_en.php?id=210&status=1&type=manuscript
,"London, British Library",815,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Yates_Thompson_MS_50
,"Lucca, Bibl. Statale",2,http://www.internetculturale.it/opencms/opencms/it/viewItemMag.jsp?case=&id=oai%3Awww.internetculturale.sbn.it/Teca%3A20%3ANT0000%3ALU0022_ms.1387
,"Madison, NJ, Drew University",1,http://csntm.org/Manuscript/View/GA_1960
,"Madrid, BN",16,http://bdh.bne.es/bnesearch/detalle/bdh0000007001
,"Madrid, Real Academia de la Historia",3,http://bibliotecadigital.rah.es/dgbrah/es/consulta/registro.cmd?id=89
,"Modena, Bibl. Estense universitaria",11,http://bibliotecaestense.beniculturali.it/info/img/mss/i-mo-beu-alfa.w.9.12.html
,"Mt. Athos, Lavra",1,http://csntm.org/Manuscript/View/GA_1505
urn:cite:openpal:srcs.bsb,"Munich, BS",239,http://daten.digitale-sammlungen.de/%7Edb/0001/bsb00011281/images/index.html
,"Münster, INTF",24,http://csntm.org/Manuscript/View/GA_Lect_1578
,"Naples, BN",1,http://www.wdl.org/en/item/10690/
,"New Haven, Yale U. Library",29,http://brbl-dl.library.yale.edu/vufind/Record/3592288
,"Orlando, FL, Scriptorium",10,http://csntm.org/Manuscript/View/GA_2893
,"Oxford, Bodleian Library",237,http://viewer.bodleian.ox.ac.uk/icv/page.php?book=ms._laud_gr._35
,"Oxford, Christ Church College",1,http://csntm.org/Manuscript/View/GA_517
,"Oxford, Magdalen College",8,http://image.ox.ac.uk/show?collection=magdalen&manuscript=msgr9
urn:cite:openpal:srcs.gallica,"Paris, BN",244,http://gallica.bnf.fr/ark:/12148/btv1b525000902
,"Paris, Bibliothèque de l'Arsenal",1,http://csntm.org/Manuscript/View/GA_43
,"Princeton NJ, Princeton UL",1,http://arks.princeton.edu/ark:/88435/tb09j565d
,"Sinai, St. Catherine's Monastery",1,http://csntm.org/Manuscript/View/GA_1881
urn:cite:openpal:srcs.e_codices,"St. Gallen, Stiftsbibliothek",4,http://www.e-codices.unifr.ch/en/list/one/csg/0902
,"St. Petersburg, The National Library of Russia",1,http://csntm.org/Manuscript/View/GA_066
,"Stuttgart, Württembergische Landesbibliothek",1,http://digital.wlb-stuttgart.de/digitale-sammlungen/seitenansicht/?no_cache=1&tx_dlf%5Bid%5D=1885&tx_dlf%5Bpage%5D=1&tx_dlf%5Bpointer%5D=4
,"Toronto, U of Toronto UL",1,http://resource.library.utoronto.ca/manuscripts/digobjectbook.cfm?Idno=F3994
,"Tübingen, UB",3,http://idb.ub.uni-tuebingen.de/diglit/Mb4
,"Utrecht, Universiteitsbibliotheek",4,http://aleph.library.uu.nl/F?func=direct&doc_number=002295150
,"Vatican, BAV",313,http://digi.vatlib.it/view/MSS_Vat.gr.901
,"Venice, Istituto Ellenico di Studi Bizantini e Post-bizantini",5,http://194.177.217.107/gr/showpic.asp?picpath=0402_txt_01_fr&curtable=manuscripts&currecord=9999&vorder=1&vmode=first
,"Washington DC, Dumbarton Oaks",4,http://pds.lib.harvard.edu/pds/view/23419344
,"Washington DC, Smithsonian Institution, Freer Gallery of Art",1,http://csntm.org/Manuscript/View/GA_032
,"Wroclaw, Biblioteka Uniwersytecka",13,http://dk.bu.uni.wroc.pl/cymelia/displayDocumentFotos.htm?docId=8200039225
,"Zagora, Public Library",5,http://csntm.org/Manuscript/View/GA_2433
urn:cite:openpal:srcs.e_codices,"Zurich, Zentralbibliothek",2,http://www.e-codices.unifr.ch/en/list/one/zbz/D0227
