SourceID,Label,URL,Images,License,Downloads,API,MsId
urn:cite:openpal:srcs.e_codices,E-codices project,http://www.e-codices.unifr.ch/,"jpgs at maximum resolution of 5Mb, see http://www.e-codices.unifr.ch/en/info/imaging","CC-BY-NC, see http://www.e-codices.unifr.ch/en/info/terms","no direct means of downloading images? 3rd-party download script available from Ryan Baumann, https://gist.github.com/ryanfb/6553866",none?,"'Permanent link' and DOI"
urn:cite:openpal:srcs.gallica,Gallica,http://gallica.bnf.fr/html/manuscrits/manuscrits,"PDF of entire manuscripts created from source images at a minimum of 300 dpi, see http://gallica.bnf.fr/html/und/comment-les-documents-sont-ils-numerises","In accordance with French Law n°78-753, public-domain material is freely available with attribution to the original source.  http://gallica.bnf.fr/html/und/conditions-use-gallicas-contents",single pdf per manuscript,http://data.bnf.fr/semanticweb#Ancre2,ARK ID
urn:cite:openpal:srcs.hmt,Homer Multitext project,http://www.homermultitext.org/hmt-archive.html,Archival quality TIFF images.,"CC-BY-SA-NC, see http://www.homermultitext.org/hmt-image-archive.html",individual images with md5 checksums,none,URN
urn:cite:openpal:srcs.walters,Walters Art Museum,http://www.thedigitalwalters.org/01_ACCESS_WALTERS_MANUSCRIPTS.html,3000PPI TIF files,"CC-BY-SA, see http://www.thedigitalwalters.org/01_ACCESS_WALTERS_MANUSCRIPTS.html",individual images,none,
urn:cite:openpal:srcs.nymet,"Metropolitan Museum of Art, Image Resources",http://www.metmuseum.org/research/image-resources,jpgs (unknown resolution?),"Non-commercial reuse permitted with attribution, see http://www.metmuseum.org/information/terms-and-conditions",individual images,none? ,  
urn:cite:openpal:srcs.slug,Sächsische Landesbibliothek – Staats- und Universitätsbibliothek Dresden (SLUG),http://www.slub-dresden.de/sammlungen/handschriften/,pdfs,"Creative Commons Lizenz BY-NC-ND 3.0, see http://www.slub-dresden.de/ueber-uns/ddz/nutzungsbestimmungen/",pdf of entire MS or of individual pages,yes (rdf?),  
urn:cite:openpal:srcs.heidelberg,"Heidelberg, Universitäts-Bibliothek",http://www.ub.uni-heidelberg.de/ (manuscripts page http://www.ub.uni-heidelberg.de/helios/digi/handschriften.html),pdfs at choice of two resolutions,CC-BY-SA,pdfs of entire MS,"RSS feeds for individual sections, e.g., Bibliotheca Palatina http://digi.ub.uni-heidelberg.de/diglit/rss?modus=incl&set=bibliotheca_palatina or manuscripts http://diglit.ub.uni-heidelberg.de/diglit/rss?set=handschriften",
urn:cite:openpal:srcs.duesseldorf,"Heinrich Heine Universität, Düsseldorf, Universitäts- und Landesbibliothek",http://digital.ub.uni-duesseldorf.de/,pdfs,License?,pdf of entire MS,rss feed,  
urn:cite:openpal:srcs.halle,"Martin-Luther Universität Halle-Wittenberg, Universität- und Landesbibliothek Sachsen-Anhalt",http://141.48.65.178/hd/nav/classification/1406583,pdf,license?,pdf of entire MS,?,  
urn:cite:openpal:srcs.muenster,"Westfälische Wilhelms-Univertät, Münster, Universitäts- und Landesbibliothek Münster",http://sammlungen.ulb.uni-muenster.de/nav/classification/2163619,pdf,license?,pdf of entire MS,?,  
urn:cite:openpal:srcs.utrecht,Universiteit Utrecht,http://bc.library.uu.nl/,pdf,license?, pdf of entire MS,?,  
urn:cite:openpal:srcs.toulouse,Université de Toulouse,http://tolosana.univ-toulouse.fr/,pdf ,license?,pdf of entire MS,?,
urn:cite:openpal:srcs.qatar,Qatar Digital Library,http://www.qdl.qa/en,jpgs,public domain , ? , ? ,
urn:cite:openpal:srcs.bsb,Bayerische Staatsbibliothek,https://www.bsb-muenchen.de/en/catalogues-databases/digital-collections/, ,CC-BY-SA-NC,,none,
